"","Player","Actual","Guaranteed","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","url","yrs_exp","age_yrs","draft_num","debut_yr","num_accolades","num_teams_1920","mid_season_trades","team","num_yrs_current_team","num_teams_played","injury_yrs","twitter_followers","NBA_titles","all_NBA","drafted","GS."
"1","Aaron Gordon",19863636,54409091,"PF",62,62,2017,335,767,0.436766623207301,73,237,0.308016877637131,262,530,0.494339622641509,0.484354628422425,151,224,0.674107142857143,107,368,475,228,51,39,100,125,894,"https://www.basketball-reference.com/players/g/gordoaa01.html",6,25.0710350556425,4,2014,0,1,0,"ORL",6,1,0,183817,0,0,TRUE,1
"2","Aaron Holiday",2239200,4584840,"PG",66,33,1617,233,563,0.413854351687389,87,221,0.393665158371041,146,342,0.426900584795322,0.491119005328597,74,87,0.850574712643678,22,134,156,225,55,16,88,120,627,"https://www.basketball-reference.com/players/h/holidaa01.html",2,24.0306295384268,23,2018,0,1,0,"IND",2,1,0,13339,0,0,TRUE,0.5
"3","Abdel Nader",1618520,1618520,"SF",55,6,867,123,263,0.467680608365019,48,128,0.375,75,135,0.555555555555556,0.55893536121673,51,66,0.772727272727273,14,86,100,38,23,20,43,78,345,"https://www.basketball-reference.com/players/n/naderab01.html",3,27.0450676290965,58,2017,0,1,0,"OKC",2,2,0,16393,0,0,TRUE,0.109090909090909
"4","Admiral Schofield",898310,4198912,"PF",33,2,368,35,92,0.380434782608696,19,61,0.311475409836066,16,31,0.516129032258065,0.483695652173913,10,15,0.666666666666667,7,40,47,15,8,4,7,50,99,"https://www.basketball-reference.com/players/s/schofad01.html",1,23.5349538835691,42,2019,0,1,0,"WAS",1,1,0,50892,0,0,TRUE,0.0606060606060606
"5","Al-Farouq Aminu",9258000,29162700,"PF",18,2,380,25,86,0.290697674418605,9,36,0.25,16,50,0.32,0.343023255813953,19,29,0.655172413793103,24,63,87,21,18,8,17,27,78,"https://www.basketball-reference.com/players/a/aminual01.html",10,30.0567678105104,8,2010,0,1,0,"ORL",1,5,0,79429,0,0,TRUE,0.111111111111111
"6","Al Horford",2.8e+07,9.7e+07,"C",67,61,2025,319,709,0.449929478138223,99,283,0.34982332155477,220,426,0.516431924882629,0.519746121297602,61,80,0.7625,103,353,456,270,52,61,80,142,798,"https://www.basketball-reference.com/players/h/horfoal01.html",13,34.3580232514206,3,2007,4,1,0,"PHI",1,3,0,355643,0,1,TRUE,0.91044776119403
"7","Alec Burks",2320044,2320044,"SF-SG",132,38,3508,642,1536,0.41796875,232,602,0.385382059800664,410,934,0.438972162740899,0.493489583333333,470,530,0.886792452830189,96,468,564,378,124,34,182,256,1986,"https://www.basketball-reference.com/players/b/burksal01.html",9,29.2299192152495,12,2011,0,3,2,"PHI",1,5,0,55679,0,0,TRUE,0.287878787878788
"8","Alen Smailagić",898310,2415891,"C",14,0,139,20,40,0.5,3,13,0.230769230769231,17,27,0.62962962962963,0.5375,16,19,0.842105263157895,10,17,27,13,3,4,11,14,59,"https://www.basketball-reference.com/players/s/smailal01.html",1,20.1482742136588,39,2019,0,1,0,"GSW",1,1,0,2728,0,0,TRUE,0
"9","Alex Caruso",2750000,5500000,"PG",64,2,1175,120,291,0.412371134020619,40,120,0.333333333333333,80,171,0.467836257309941,0.481099656357388,69,94,0.734042553191489,17,106,123,124,70,18,53,98,349,"https://www.basketball-reference.com/players/c/carusal01.html",3,26.6178397056346,0,2017,1,1,0,"LAL",3,1,0,238834,1,0,FALSE,0.03125
"10","Alex Len",4160000,4160000,"C",110,24,1940,354,638,0.554858934169279,32,118,0.271186440677966,322,520,0.619230769230769,0.579937304075235,136,210,0.647619047619048,200,442,642,100,46,96,110,254,876,"https://www.basketball-reference.com/players/l/lenal01.html",7,27.3215964639354,5,2013,0,3,2,"SAC",1,3,0,16318,0,0,TRUE,0.218181818181818
